Year,Design,Type,Period,Trt,Dates,Samples,Catch,Area_ha,PE,SD,LO,HI,CV
1999,strat,whole,-1,pre,6/10 - 7/8,867,309,7836.504753,5081627.851,1480250.985,3116023.835,9144324.36,0.291294646
1999,strat,whole,1,post,8/5 - 9/28,863,107,7836.504753,1381080.357,347872.8338,831621.6614,2147787.101,0.251884571
2000,strat+adap,whole,0,,7/7 - 8/18,784,501,7836.504753,2548436.11,1692762.058,501,5866249.743,0.664235627
2001,strat+adap,whole,-1,pre,6/28 - 8/1,916,351,7836.504753,3634976.37,786512.7959,2093411.29,5176541.45,0.216373565
2001,strat,region 5,1,post,9/5 - 9/12,218,62,218.6123204,3003643.613,762651.2941,1508847.076,4498440.149,0.253908716
2002,adap,whole,0,,7/8 - 8/12,1171,885,7836.504753,3539689.866,751972.3941,2065823.973,5013555.758,0.212440192
2003,adap,treated,-1,pre,6/19 - 6/30,371,566,104.58,2065867.038,442847.1927,1197886.541,2933847.536,0.214363841
2003,adap,whole,1,post,6/30 - 8/22,772,102,7836.504753,1615781.33,439762.131,753847.5536,2477715.107,0.27216686
2004,none,none,-1,pre,,,,,2957910.965,426640.5557,2121695.475,3794126.454,0.144237119
2004,adap,upper,1,post,7/12 - 8/11,896,256,7836.504753,2102176.909,392828.055,1332233.922,2872119.897,0.186867268
2005,none,none,-1,pre,,,,,3164612.9,688554.4865,1815046.107,4514179.693,0.217579372
2005,adap,upper,1,post,7/14 - 10/21,892,194,7836.504753,2414144,667674.6,1105501,3722786,0.2765679
2006,none,none,-1,pre,,,,,2866992.8,313526.5579,2252480.746,3481504.854,0.109357288
2006,adap,upper,1,post,7/27 - 8/23,1032,808,7836.504753,1996859,262103.8,1483135,2510582,0.1312581
2007,none,none,-1,pre,,,,,1780003.865,347135.0568,1099619.154,2460388.577,0.195019271
2007,adap,upper,1,post,7/13 - 8/29,784,274,7836.504753,1425681.844,333542.7316,771938.0903,2079425.598,0.2339531
2008,none,none,-1,pre,,,,,3371220.262,532829.0155,2326875.392,4415565.133,0.15805227
2008,adap,whole,1,post,6/18 - 10/16,940,292,7836.468,2133058.261,473629.6338,1204744.179,3061372.344,0.2220425
2009,none,none,-1,pre,,,,,4348311.8,569052.4112,3232969.074,5463654.526,0.130867435
2009,strat,upper,1,post,7/8 - 8/17,853,162,7836.468,3069176,536060.6,2018498,4119855,0.1746594
2010,none,none,-1,pre,,,,,,,,,
2010,strat,upper,1,post,6/14 - 10/6,437,47,7836.468,2659691,996127.2,707281.9,4612100.7,0.3745274
2011,none,none,-1,pre,,,,,,,,,
2011,strat,upper,1,post,7/6 - 8/26,541,31,7836.468,614183.2,177542.1,266200.8,962165.6,0.2890702
2012,none,none,-1,pre,,,,,710990.1,143479.2518,429770.7665,992209.4335,0.201802039
2012,strat,whole,1,post,6/13 - 7/30,802,24,7836.468,359549.6,114336.8,135449.4,583649.8,0.3180002
2013,none,none,-1,pre,,,,,1540907,274358.3,1003165,2078650,0.1780498
2013,strat,upper,1,post,6/21 - 9/6,779,100,7836.468,862631.4,138931.9,590324.8,1134938,0.161056
2014,none,none,-1,pre,,,,,2020866,315599.9,1402290,2639442,0.1561706
2014,strat,upper,1,post,6/10 - 7/28,880,107,7836.468,1051651,165991.2,726307.8,1376993.3,0.1578387
2015,none,none,-1,pre,,,,,2226577,519766.9,1207834,3245320,0.2334376
2015,strat,upper,1,post,6/16 - 7/27,896,95,7836.468,721404.3,306263.2,121128.4,1321680.2,0.4245375
2016,none,none,-1,pre,,,,,1494348,2074479,1087750,1900946,0.1388216
2016,strat,upper,1,post,6/13 - 8/30,892,178,7836.468,999194.2,142316.8,720253.2,1278135.1,0.1424316
2017,none,none,-1,pre,,,,,4516491,974736.1,2606008,6426974,0.2158171
2017,strat,whole,1,post,6/9 - 10/11,921,150,7836.468,2315097,517626.4,1300549,3329645,0.2235873
2018,none,none,-1,pre,,,,,1968207,314160.4,1352452,2583961,0.1596176
2018,strat,whole,1,post,7/7 - 10/11,868,143,7836.468,1117813,197110,731477,1504150,0.18
2019,none,none,-1,pre,,,,,1921093.043,329338.934,1275588.732,2566597.353,0.171433099
2019,strat,upper,1,post,5/31 - 10/25,880,122,,1142848.998,247714.7296,657328.1275,1628369.868,0.216751933
2021,none,none,-1,pre,,,,,1307703.135,254326.5987,809223.0017,1806183.269,0.194483436
2021,strat,upper,1,post,6/18 - 8/5,775,66,8147.24,714953.4674,188053.9551,346367.7153,1083539.219,0.263029643
2022,none,none,-1,pre,,,Not available since no lamprey were caught in 2022 treatment polygons,,,,,,
2022,strat,whole,1,post,6/9 - 8/12,760,68,8147.24,2237943.477,746942.4841,773936.2081,3701950.746,0.333762891
2023,none,none,-1,pre,,,,,1085469.076,248587.3327,598237.9035,1572700.248,0.22901374
2023,strat,upper,1,post,6/14 - 10/5,812,73,8147.24,598373.1658,168677.0196,267766.2075,928980.1242,0.281892687
2024,none,none,-1,pre,,,,,2074471.448,327676.2784,1432225.943,2716716.954,0.157956514
2024,strat,upper,1,post,5/28 - 9/4,860,178,8147.24,1521755.548,299296.5805,935134.2505,2108376.846,0.196678488
